Date,Open,High,Low,Close,Volume,Change
2001-09-12,3200,3460,3200,3230,1699446,-0.13636363636363635
2001-09-13,3360,3460,3319,3430,1194979,0.0619195046439629
2001-09-14,3440,3449,3289,3390,663586,-0.011661807580174877
2001-09-17,3300,3360,3240,3280,569053,-0.03244837758112096
2001-09-18,3390,3400,3300,3350,497444,0.021341463414634054
2001-09-19,3300,3340,3260,3280,431180,-0.020895522388059695
2001-09-20,3200,3200,3030,3080,1227672,-0.060975609756097615
2001-09-21,2900,2940,2790,2850,1308363,-0.07467532467532467
2001-09-24,2810,2960,2810,2960,1139615,0.03859649122807007
2001-09-25,3060,3070,2860,2860,841381,-0.03378378378378377
2001-09-26,2820,2870,2790,2830,665570,-0.010489510489510523
2001-09-27,2760,2810,2680,2810,730010,-0.007067137809187329
2001-09-28,2880,2900,2780,2800,945715,-0.003558718861209953
2001-10-04,3000,3000,2860,2910,1298572,0.03928571428571437
2001-10-05,2920,2970,2870,2950,800783,0.013745704467353903
2001-10-08,2940,2960,2890,2920,398747,-0.01016949152542368
2001-10-09,2960,3060,2960,3030,792657,0.03767123287671237
2001-10-10,2990,3010,2960,2980,337119,-0.01650165016501648
2001-10-11,3080,3200,3070,3180,1163439,0.06711409395973145
2001-10-12,3320,3339,3250,3260,945385,0.02515723270440251
2001-10-15,3200,3240,3180,3200,348550,-0.018404907975460127
2001-10-16,3160,3230,3160,3180,312417,-0.006249999999999978
2001-10-17,3260,3300,3230,3280,571926,0.03144654088050314
2001-10-18,3230,3260,3170,3260,437077,-0.0060975609756097615
2001-10-19,3300,3409,3260,3400,831100,0.042944785276073594
